x,y,m
0,0,-1.0
-119,298,-1.0
16,13,1.0
-5,95,1.0
32,168,1.0
2,25,1.0
130,65,1.0
116,243,2.0
-25,62,-1.0
-17,27,-1.0
-188,185,-1.0
136,239,-1.0
-13,20,1.0
-26,29,1.0
33,16,-1.0
-39,128,-1.0
7,10,1.0
152,202,-1.0
172,201,2.0
178,190,-1.0
100,160,-1.0
-118,251,2.0
-55,83,-1.0
228,25,-1.0
7,47,1.0
-169,204,2.0
-21,16,-1.0
2,74,-1.0
12,254,-1.0
28,131,-1.0
9,8,1.0
-6,16,1.0
-141,216,-1.0
218,141,2.0
-108,241,2.0
-20,32,-1.0
-16,25,1.0
17,16,1.0
181,196,-1.0
9,11,1.0
47,31,-1.0
-134,96,-1.0
-18,53,-1.0
-113,42,1.0
2,58,-1.0
76,247,-1.0
12,74,-1.0
-13,25,1.0
11,22,1.0
126,34,-1.0
21,21,1.0
157,133,1.0
-100,143,1.0
-31,52,-1.0
70,108,-1.0
-23,17,-1.0
-34,256,2.0
109,113,1.0
-121,98,-1.0
154,214,-1.0
-25,6,1.0
94,27,1.0
43,258,-1.0
1,-4,1.0
-130,248,-1.0
99,110,-1.0
5,26,-1.0
25,71,-1.0
-130,-1,1.0
-33,19,-1.0
-100,240,-1.0
-7,10,1.0
49,57,-1.0
-124,221,2.0
227,71,2.0
15,10,-1.0
-157,224,2.0
66,285,-1.0
-34,50,1.0
66,16,1.0
-31,147,-1.0
2,48,-1.0
66,158,-1.0
66,252,-1.0
60,51,-1.0
11,85,1.0
