x,y,m
-45,39,1.0
-2,12,1.0
-165,206,-1.0
-1,5,-1.0
12,80,-1.0
-100,243,-1.0
44,64,1.0
-2,12,1.0
78,38,1.0
0,6,1.0
-1,17,1.0
-233,-16,-1.0
-145,218,2.0
-59,54,1.0
-9,18,1.0
-9,20,1.0
105,230,-1.0
6,11,1.0
6,16,1.0
89,260,-1.0
-2,257,-1.0
203,20,-1.0
-127,221,2.0
-140,222,-1.0
0,0,-1.0
-10,117,1.0
-25,110,1.0
-26,71,1.0
5,40,1.0
-83,103,-1.0
27,32,-1.0
15,29,1.0
-87,96,-1.0
12,119,-1.0
1,58,-1.0
16,267,2.0
17,41,-1.0
-54,29,-1.0
230,17,-1.0
-227,75,2.0
-45,246,-1.0
-229,57,-1.0
11,108,1.0
10,116,1.0
-16,177,-1.0
-12,11,-1.0
-172,192,-1.0
-4,3,1.0
227,13,-1.0
-170,184,-1.0
7,5,1.0
-141,226,-1.0
-232,78,2.0
-26,105,-1.0
0,0,-1.0
-1,8,1.0
-164,192,2.0
32,247,-1.0
-146,208,2.0
1,4,1.0
-31,11,1.0
2,122,-1.0
-104,59,1.0
-26,10,1.0
-135,215,-1.0
92,172,1.0
45,268,-1.0
20,17,-1.0
-146,206,-1.0
0,5,1.0
-82,33,1.0
97,134,1.0
1,60,-1.0
-19,7,-1.0
-170,35,1.0
-43,245,-1.0
-232,50,-1.0
-44,59,-1.0
129,60,1.0
-235,56,-1.0
1,13,1.0
-57,60,1.0
-32,17,-1.0
2,16,1.0
18,64,1.0
-126,52,-1.0
230,8,-1.0
74,39,-1.0
36,116,-1.0
-131,32,-1.0
-39,25,-1.0
11,21,1.0
-67,49,-1.0
2,15,1.0
199,155,-1.0
7,18,-1.0
140,210,-1.0
-100,238,2.0
6,13,-1.0
22,172,1.0
-88,242,-1.0
-71,87,1.0
5,10,1.0
25,124,-1.0
-88,224,2.0
-72,238,2.0
89,132,1.0
51,245,-1.0
46,8,1.0
49,240,-1.0
227,78,-1.0
0,27,-1.0
21,121,1.0
53,187,-1.0
-157,9,-1.0
236,43,-1.0
-19,45,1.0
-233,42,-1.0
66,262,-1.0
-49,26,1.0
33,34,-1.0
42,246,2.0
