game_id,home_team_id,home_team_name,home_team_city,home_team_tricode,home_team_wins,home_team_losses,home_team_score,away_team_id,away_team_name,away_team_city,away_team_tricode,away_team_wins,away_team_losses,away_team_score,arena,arena_city,arena_state,arena_country,arena_timezone,gameTimeET,gameTimeUTC,duration,attendance,sellout
0022300641,1610612759,Spurs,San Antonio,SAS,9,36,116,1610612757,Trail Blazers,Portland,POR,13,32,100,Frost Bank Center,San Antonio,TX,US,Central,2024-01-26T21:30:00Z,2024-01-27T02:30:00Z,2:09,17274,0
0022301050,1610612764,Wizards,Washington,WAS,14,59,119,1610612751,Nets,Brooklyn,BKN,28,45,122,Capital One Arena,Washington,DC,US,Eastern,2024-03-27T19:00:00Z,2024-03-27T23:00:00Z,2:23,15159,0
0022300905,1610612756,Suns,Phoenix,PHX,37,26,120,1610612761,Raptors,Toronto,TOR,23,40,113,Footprint Center,Phoenix,AZ,US,Mountain,2024-03-07T21:00:00Z,2024-03-08T02:00:00Z,2:14,17071,1
0022300456,1610612756,Suns,Phoenix,PHX,18,15,109,1610612757,Trail Blazers,Portland,POR,9,23,88,Footprint Center,Phoenix,AZ,US,Mountain,2024-01-01T21:00:00Z,2024-01-02T02:00:00Z,2:12,17071,1
0022300006,1610612743,Nuggets,Denver,DEN,5,1,125,1610612742,Mavericks,Dallas,DAL,4,1,114,Ball Arena,Denver,CO,US,Mountain,2023-11-03T22:00:00Z,2023-11-04T02:00:00Z,2:18,19729,1
0022300513,1610612753,Magic,Orlando,ORL,21,16,92,1610612750,Timberwolves,Minnesota,MIN,26,10,113,Kia Center,Orlando,FL,US,Eastern,2024-01-09T19:00:00Z,2024-01-10T00:00:00Z,2:08,19223,1
0022300143,1610612742,Mavericks,Dallas,DAL,5,1,124,1610612766,Hornets,Charlotte,CHA,2,4,118,American Airlines Center,Dallas,TX,US,Central,2023-11-05T19:30:00Z,2023-11-06T00:30:00Z,2:22,20052,1
0022300840,1610612749,Bucks,Milwaukee,MIL,38,21,123,1610612766,Hornets,Charlotte,CHA,15,43,85,Fiserv Forum,Milwaukee,WI,US,Central,2024-02-27T20:00:00Z,2024-02-28T01:00:00Z,2:01,17607,1
0022300790,1610612763,Grizzlies,Memphis,MEM,20,36,113,1610612749,Bucks,Milwaukee,MIL,35,21,110,FedExForum,Memphis,TN,US,Central,2024-02-15T20:30:00Z,2024-02-16T01:30:00Z,2:29,16544,0
0022301181,1610612742,Mavericks,Dallas,DAL,50,31,89,1610612765,Pistons,Detroit,DET,14,67,107,American Airlines Center,Dallas,TX,US,Central,2024-04-12T20:30:00Z,2024-04-13T00:30:00Z,1:54,20274,1
0022300285,1610612741,Bulls,Chicago,CHI,7,14,124,1610612740,Pelicans,New Orleans,NOP,11,10,118,United Center,Chicago,IL,US,Central,2023-12-02T20:00:00Z,2023-12-03T01:00:00Z,2:15,20511,0
0022300051,1610612744,Warriors,Golden State,GSW,8,9,118,1610612759,Spurs,San Antonio,SAS,3,13,112,Chase Center,San Francisco,CA,US,Pacific,2023-11-24T22:00:00Z,2023-11-25T03:00:00Z,2:24,18064,1
0022300401,1610612752,Knicks,New York,NYK,17,12,129,1610612749,Bucks,Milwaukee,MIL,22,8,122,Madison Square Garden,New York,NY,US,Eastern,2023-12-25T12:00:00Z,2023-12-25T17:00:00Z,2:24,19812,1
0022300952,1610612742,Mavericks,Dallas,DAL,38,28,109,1610612744,Warriors,Golden State,GSW,34,31,99,American Airlines Center,Dallas,TX,US,Central,2024-03-13T20:30:00Z,2024-03-14T00:30:00Z,2:14,20411,1
0022301210,1610612750,Timberwolves,Minnesota,MIN,16,4,102,1610612759,Spurs,San Antonio,SAS,3,17,94,Target Center,Minneapolis,MN,US,Central,2023-12-06T19:30:00Z,2023-12-07T00:30:00Z,2:14,18024,1
0022300817,1610612755,76ers,Philadelphia,PHI,33,24,98,1610612749,Bucks,Milwaukee,MIL,37,21,119,Wells Fargo Center,Philadelphia,PA,US,Eastern,2024-02-25T13:00:00Z,2024-02-25T18:00:00Z,2:14,19831,1
0022300114,1610612746,Clippers,LA,LAC,3,1,118,1610612753,Magic,Orlando,ORL,2,2,102,Crypto.com Arena,Los Angeles,CA,US,Pacific,2023-10-31T22:30:00Z,2023-11-01T02:30:00Z,2:17,14014,0
0022300544,1610612763,Grizzlies,Memphis,MEM,14,25,94,1610612752,Knicks,New York,NYK,23,16,106,FedExForum,Memphis,TN,US,Central,2024-01-13T20:00:00Z,2024-01-14T01:00:00Z,2:03,16598,0
0022300397,1610612760,Thunder,Oklahoma City,OKC,18,9,120,1610612747,Lakers,Los Angeles,LAL,16,14,129,Paycom Center,Oklahoma City,OK,US,Central,2023-12-23T20:00:00Z,2023-12-24T01:00:00Z,2:08,18203,1
0022300728,1610612764,Wizards,Washington,WAS,9,41,106,1610612739,Cavaliers,Cleveland,CLE,33,16,114,Capital One Arena,Washington,DC,US,Eastern,2024-02-07T19:00:00Z,2024-02-08T00:00:00Z,2:14,15860,0
0022300378,1610612749,Bucks,Milwaukee,MIL,21,7,118,1610612753,Magic,Orlando,ORL,16,11,114,Fiserv Forum,Milwaukee,WI,US,Central,2023-12-21T20:00:00Z,2023-12-22T01:00:00Z,2:25,17928,1
0022300682,1610612760,Thunder,Oklahoma City,OKC,33,15,105,1610612743,Nuggets,Denver,DEN,33,16,100,Paycom Center,Oklahoma City,OK,US,Central,2024-01-31T20:00:00Z,2024-02-01T01:00:00Z,2:16,16723,0
0022301139,1610612749,Bucks,Milwaukee,MIL,47,31,109,1610612752,Knicks,New York,NYK,46,32,122,Fiserv Forum,Milwaukee,WI,US,Central,2024-04-07T19:00:00Z,2024-04-07T23:00:00Z,2:15,17536,1
0022301093,1610612755,76ers,Philadelphia,PHI,41,35,109,1610612760,Thunder,Oklahoma City,OKC,52,23,105,Wells Fargo Center,Philadelphia,PA,US,Eastern,2024-04-02T19:30:00Z,2024-04-02T23:30:00Z,2:24,20733,1
0022301206,1610612765,Pistons,Detroit,DET,2,19,102,1610612763,Grizzlies,Memphis,MEM,6,14,116,Little Caesars Arena,Detroit,MI,US,Eastern,2023-12-06T19:00:00Z,2023-12-07T00:00:00Z,1:59,12862,0
0022300944,1610612746,Clippers,LA,LAC,41,23,100,1610612750,Timberwolves,Minnesota,MIN,45,21,118,Crypto.com Arena,Los Angeles,CA,US,Pacific,2024-03-12T22:00:00Z,2024-03-13T02:00:00Z,2:18,19370,1
0022300417,1610612751,Nets,Brooklyn,BKN,15,16,122,1610612749,Bucks,Milwaukee,MIL,23,8,144,Barclays Center,Brooklyn,NY,US,Eastern,2023-12-27T19:30:00Z,2023-12-28T00:30:00Z,2:16,18199,1
0022300047,1610612754,Pacers,Indiana,IND,9,6,136,1610612765,Pistons,Detroit,DET,2,14,113,Gainbridge Fieldhouse,Indianapolis,IN,US,Eastern,2023-11-24T20:00:00Z,2023-11-25T01:00:00Z,2:14,17274,1
