home_win,home_team_tricode,arena,attendance,sellout,gameTimeET,gameTimeUTC,duration
1,DET,Little Caesars Arena,18003,0,2024-03-11T19:00:00Z,2024-03-11T23:00:00Z,2:07
1,GSW,Chase Center,18064,1,2024-03-06T22:00:00Z,2024-03-07T03:00:00Z,2:11
0,ATL,State Farm Arena,15596,0,2024-01-12T19:30:00Z,2024-01-13T00:30:00Z,2:05
1,HOU,Toyota Center,18055,1,2023-11-08T20:00:00Z,2023-11-09T01:00:00Z,2:12
1,ORL,Kia Center,19349,1,2024-01-07T18:00:00Z,2024-01-07T23:00:00Z,2:35
0,TOR,Scotiabank Arena,19800,1,2024-03-01T19:30:00Z,2024-03-02T00:30:00Z,2:10
0,ATL,State Farm Arena,17695,1,2024-03-10T18:00:00Z,2024-03-10T22:00:00Z,2:02
1,SAC,Golden 1 Center,17832,1,2024-01-03T22:00:00Z,2024-01-04T03:00:00Z,2:59
1,LAL,Crypto.com Arena,18430,0,2023-11-14T22:30:00Z,2023-11-15T03:30:00Z,2:15
0,MIA,Kaseya Center,19855,1,2024-02-04T18:00:00Z,2024-02-04T23:00:00Z,2:17
1,SAC,Golden 1 Center,17794,1,2023-12-18T22:00:00Z,2023-12-19T03:00:00Z,2:17
1,CHI,United Center,21599,1,2024-04-05T20:00:00Z,2024-04-06T00:00:00Z,2:16
0,NYK,Madison Square Garden,19812,1,2024-02-27T19:30:00Z,2024-02-28T00:30:00Z,2:08
1,ORL,Amway Center,18846,1,2023-11-04T19:00:00Z,2023-11-04T23:00:00Z,2:21
1,UTA,Delta Center,18206,1,2024-01-15T21:00:00Z,2024-01-16T02:00:00Z,2:16
0,MEM,FedExForum,17798,1,2023-10-25T20:00:00Z,2023-10-26T00:00:00Z,2:21
1,BOS,TD Garden,19156,1,2023-12-28T19:30:00Z,2023-12-29T00:30:00Z,2:31
0,MEM,FedExForum,17012,0,2024-03-16T20:00:00Z,2024-03-17T00:00:00Z,2:19
1,LAL,T-Mobile Arena,18017,1,2023-12-07T21:00:00Z,2023-12-08T02:00:00Z,2:12
0,DET,Little Caesars Arena,19922,0,2024-03-24T15:00:00Z,2024-03-24T19:00:00Z,2:09
1,IND,Gainbridge Fieldhouse,17274,1,2024-01-26T19:00:00Z,2024-01-27T00:00:00Z,2:17
0,BKN,Barclays Center,16072,0,2023-11-30T19:30:00Z,2023-12-01T00:30:00Z,2:01
0,MIL,Fiserv Forum,17520,1,2024-02-13T20:00:00Z,2024-02-14T01:00:00Z,2:06
1,UTA,Delta Center,18206,1,2023-12-02T21:30:00Z,2023-12-03T02:30:00Z,2:29
0,POR,Moda Center,17842,0,2023-12-14T22:00:00Z,2023-12-15T03:00:00Z,2:07
1,MIL,Fiserv Forum,17563,1,2024-04-10T20:00:00Z,2024-04-11T00:00:00Z,2:12
0,PHI,Wells Fargo Center,19777,1,2024-03-08T19:00:00Z,2024-03-09T00:00:00Z,2:14
1,HOU,Toyota Center,18055,1,2023-11-22T20:00:00Z,2023-11-23T01:00:00Z,2:18
0,MIA,Kaseya Center,19600,1,2024-01-29T19:30:00Z,2024-01-30T00:30:00Z,2:12
1,SAS,Frost Bank Center,18604,1,2024-03-29T20:00:00Z,2024-03-30T00:00:00Z,2:37
0,CHA,Spectrum Center,16556,0,2024-04-07T18:00:00Z,2024-04-07T22:00:00Z,2:13
0,DET,Little Caesars Arena,18122,0,2023-12-21T19:00:00Z,2023-12-22T00:00:00Z,2:08
1,UTA,Delta Center,18206,1,2024-02-06T21:00:00Z,2024-02-07T02:00:00Z,2:08
0,SAS,Frost Bank Center,18354,1,2024-01-13T20:30:00Z,2024-01-14T01:30:00Z,2:08
1,BOS,TD Garden,19156,1,2023-11-01T19:30:00Z,2023-11-01T23:30:00Z,2:03
1,BKN,Barclays Center,17894,1,2024-03-29T19:30:00Z,2024-03-29T23:30:00Z,2:13
0,BKN,Barclays Center,17732,1,2024-01-31T20:30:00Z,2024-02-01T01:30:00Z,2:22
1,ATL,State Farm Arena,17340,1,2023-11-22T19:30:00Z,2023-11-23T00:30:00Z,2:37
0,SAC,Golden 1 Center,17832,1,2024-02-07T22:00:00Z,2024-02-08T03:00:00Z,2:10
1,GSW,Chase Center,18064,1,2023-12-19T22:00:00Z,2023-12-20T03:00:00Z,2:24
0,PHI,Wells Fargo Center,20673,1,2024-02-03T18:00:00Z,2024-02-03T23:00:00Z,2:12
0,NOP,Smoothie King Center,17422,1,2024-04-05T20:00:00Z,2024-04-06T00:00:00Z,2:02
1,IND,Gainbridge Fieldhouse,16522,0,2024-04-01T19:00:00Z,2024-04-01T23:00:00Z,2:20
0,IND,Gainbridge Fieldhouse,17274,1,2024-03-13T19:30:00Z,2024-03-13T23:30:00Z,2:44
1,MIN,Target Center,18024,1,2023-11-30T20:00:00Z,2023-12-01T01:00:00Z,2:03
0,WAS,Capital One Arena,15446,0,2024-01-24T19:00:00Z,2024-01-25T00:00:00Z,2:20
1,MIN,Target Center,18024,1,2024-03-24T19:00:00Z,2024-03-24T23:00:00Z,2:19
1,CLE,Rocket Mortgage FieldHouse,19432,1,2024-04-12T19:30:00Z,2024-04-12T23:30:00Z,2:11
0,CHA,Spectrum Center,17829,0,2023-12-16T19:00:00Z,2023-12-17T00:00:00Z,2:01
1,HOU,Toyota Center,16790,0,2024-02-12T20:00:00Z,2024-02-13T01:00:00Z,2:26
1,MIA,Kaseya Center,19694,1,2024-01-08T19:30:00Z,2024-01-09T00:30:00Z,2:19
1,PHI,Wells Fargo Center,19953,1,2023-11-08T19:00:00Z,2023-11-09T00:00:00Z,2:11
0,WAS,Capital One Arena,15297,0,2024-01-08T19:00:00Z,2024-01-09T00:00:00Z,2:15
1,IND,Gainbridge Fieldhouse,14509,0,2023-11-08T19:00:00Z,2023-11-09T00:00:00Z,2:09
1,OKC,Paycom Center,17401,0,2023-11-30T20:00:00Z,2023-12-01T01:00:00Z,2:08
0,MIA,Kaseya Center,19600,1,2024-01-24T19:30:00Z,2024-01-25T00:30:00Z,2:13
1,MIL,Fiserv Forum,17912,1,2024-03-24T19:00:00Z,2024-03-24T23:00:00Z,2:08
1,NYK,Madison Square Garden,19812,1,2024-04-12T19:30:00Z,2024-04-12T23:30:00Z,2:15
1,MIL,Fiserv Forum,17666,1,2023-12-16T18:00:00Z,2023-12-16T23:00:00Z,2:13
0,TOR,Scotiabank Arena,19800,1,2024-02-12T19:30:00Z,2024-02-13T00:30:00Z,2:05
0,MIA,Kaseya Center,19921,1,2024-03-13T19:30:00Z,2024-03-13T23:30:00Z,2:06
1,CLE,Rocket Mortgage FieldHouse,19432,1,2024-03-29T19:30:00Z,2024-03-29T23:30:00Z,2:19
0,WAS,Capital One Arena,17201,0,2024-01-31T19:00:00Z,2024-02-01T00:00:00Z,2:06
1,ORL,Amway Center,18237,0,2023-11-22T19:00:00Z,2023-11-23T00:00:00Z,2:22
0,IND,Gainbridge Fieldhouse,17274,1,2024-02-08T19:00:00Z,2024-02-09T00:00:00Z,2:08
1,POR,Moda Center,18233,0,2023-12-19T22:00:00Z,2023-12-20T03:00:00Z,2:17
1,ATL,State Farm Arena,17600,1,2024-02-03T19:30:00Z,2024-02-04T00:30:00Z,2:31
0,MIL,Fiserv Forum,17750,1,2024-04-05T20:00:00Z,2024-04-06T00:00:00Z,2:21
0,DET,Little Caesars Arena,19999,0,2024-04-01T19:00:00Z,2024-04-01T23:00:00Z,2:09
1,UTA,Delta Center,18206,1,2024-01-13T21:30:00Z,2024-01-14T02:30:00Z,2:18
0,MIA,Kaseya Center,19600,1,2023-11-01T19:30:00Z,2023-11-01T23:30:00Z,2:14
0,IND,Gainbridge Fieldhouse,17091,0,2023-11-22T19:30:00Z,2023-11-23T00:30:00Z,2:19
1,BKN,Barclays Center,16054,0,2024-01-29T19:30:00Z,2024-01-30T00:30:00Z,2:10
0,DEN,Ball Arena,19844,1,2024-03-29T21:00:00Z,2024-03-30T01:00:00Z,2:15
1,BOS,TD Garden,19156,1,2024-04-07T18:00:00Z,2024-04-07T22:00:00Z,1:51
0,CLE,Rocket Mortgage FieldHouse,19432,1,2023-12-21T19:30:00Z,2023-12-22T00:30:00Z,1:55
1,PHX,Footprint Center,17071,1,2024-02-06T22:00:00Z,2024-02-07T03:00:00Z,2:35
1,SAC,Golden 1 Center,17968,1,2024-03-07T22:00:00Z,2024-03-08T03:00:00Z,2:16
0,POR,Moda Center,18629,0,2024-03-23T22:00:00Z,2024-03-24T02:00:00Z,2:22
0,TOR,Scotiabank Arena,19800,1,2024-01-26T19:30:00Z,2024-01-27T00:30:00Z,2:11
1,MIA,Kaseya Center,19604,1,2023-11-30T19:30:00Z,2023-12-01T00:30:00Z,2:33
0,ORL,Kia Center,19301,1,2024-02-13T19:30:00Z,2024-02-14T00:30:00Z,2:18
1,PHX,Footprint Center,17071,1,2023-12-02T21:00:00Z,2023-12-03T02:00:00Z,2:27
1,DEN,Ball Arena,19636,1,2023-12-14T21:00:00Z,2023-12-15T02:00:00Z,2:13
1,OKC,Paycom Center,17229,0,2024-04-10T20:00:00Z,2024-04-11T00:00:00Z,1:56
1,BOS,TD Garden,19156,1,2024-02-27T19:30:00Z,2024-02-28T00:30:00Z,2:17
0,NOP,Smoothie King Center,17237,1,2023-11-04T19:00:00Z,2023-11-04T23:00:00Z,2:06
1,LAL,Crypto.com Arena,18997,1,2024-01-15T22:30:00Z,2024-01-16T03:30:00Z,2:05
0,CHI,United Center,21369,1,2023-10-25T20:00:00Z,2023-10-26T00:00:00Z,2:05
0,DAL,American Airlines Center,20377,1,2023-12-27T20:30:00Z,2023-12-28T01:30:00Z,2:16
0,LAL,Crypto.com Arena,18997,1,2024-03-16T20:30:00Z,2024-03-17T00:30:00Z,2:25
1,MIN,Target Center,18024,1,2024-02-04T19:00:00Z,2024-02-05T00:00:00Z,2:16
0,LAL,Crypto.com Arena,18997,1,2023-12-18T22:30:00Z,2023-12-19T03:30:00Z,2:16
1,BOS,TD Garden,19156,1,2024-04-05T19:30:00Z,2024-04-05T23:30:00Z,2:03
