home_win,home_team_tricode,away_team_tricode,home_team_score,away_team_score,arena,gameTimeET,duration,attendance,sellout
,SAS,CHI,116,122,Frost Bank Center,2024-01-13T20:30:00Z,2:08,18354,1
,BOS,IND,155,104,TD Garden,2023-11-01T19:30:00Z,2:03,19156,1
,BKN,CHI,125,108,Barclays Center,2024-03-29T19:30:00Z,2:13,17894,1
,BKN,PHX,120,136,Barclays Center,2024-01-31T20:30:00Z,2:22,17732,1
,ATL,BKN,147,145,State Farm Arena,2023-11-22T19:30:00Z,2:37,17340,1
,SAC,DET,120,133,Golden 1 Center,2024-02-07T22:00:00Z,2:10,17832,1
,GSW,BOS,132,126,Chase Center,2023-12-19T22:00:00Z,2:24,18064,1
,PHI,BKN,121,136,Wells Fargo Center,2024-02-03T18:00:00Z,2:12,20673,1
,NOP,SAS,109,111,Smoothie King Center,2024-04-05T20:00:00Z,2:02,17422,1
,IND,BKN,133,111,Gainbridge Fieldhouse,2024-04-01T19:00:00Z,2:20,16522,0
,IND,CHI,129,132,Gainbridge Fieldhouse,2024-03-13T19:30:00Z,2:44,17274,1
,MIN,UTA,101,90,Target Center,2023-11-30T20:00:00Z,2:03,18024,1
,WAS,MIN,107,118,Capital One Arena,2024-01-24T19:00:00Z,2:20,15446,0
,MIN,GSW,114,110,Target Center,2024-03-24T19:00:00Z,2:19,18024,1
,CLE,IND,129,120,Rocket Mortgage FieldHouse,2024-04-12T19:30:00Z,2:11,19432,1
,CHA,PHI,82,135,Spectrum Center,2023-12-16T19:00:00Z,2:01,17829,0
,HOU,NYK,105,103,Toyota Center,2024-02-12T20:00:00Z,2:26,16790,0
,MIA,HOU,120,113,Kaseya Center,2024-01-08T19:30:00Z,2:19,19694,1
,PHI,BOS,106,103,Wells Fargo Center,2023-11-08T19:00:00Z,2:11,19953,1
,WAS,OKC,128,136,Capital One Arena,2024-01-08T19:00:00Z,2:15,15297,0
,IND,UTA,134,118,Gainbridge Fieldhouse,2023-11-08T19:00:00Z,2:09,14509,0
,OKC,LAL,133,110,Paycom Center,2023-11-30T20:00:00Z,2:08,17401,0
,MIA,MEM,96,105,Kaseya Center,2024-01-24T19:30:00Z,2:13,19600,1
,MIL,OKC,118,93,Fiserv Forum,2024-03-24T19:00:00Z,2:08,17912,1
,NYK,BKN,111,107,Madison Square Garden,2024-04-12T19:30:00Z,2:15,19812,1
,MIL,DET,146,114,Fiserv Forum,2023-12-16T18:00:00Z,2:13,17666,1
,TOR,SAS,99,122,Scotiabank Arena,2024-02-12T19:30:00Z,2:05,19800,1
,MIA,DEN,88,100,Kaseya Center,2024-03-13T19:30:00Z,2:06,19921,1
,CLE,PHI,117,114,Rocket Mortgage FieldHouse,2024-03-29T19:30:00Z,2:19,19432,1
,WAS,LAC,109,125,Capital One Arena,2024-01-31T19:00:00Z,2:06,17201,0
,ORL,DEN,124,119,Amway Center,2023-11-22T19:00:00Z,2:22,18237,0
,IND,GSW,109,131,Gainbridge Fieldhouse,2024-02-08T19:00:00Z,2:08,17274,1
,POR,PHX,109,104,Moda Center,2023-12-19T22:00:00Z,2:17,18233,0
,ATL,GSW,141,134,State Farm Arena,2024-02-03T19:30:00Z,2:31,17600,1
,MIL,TOR,111,117,Fiserv Forum,2024-04-05T20:00:00Z,2:21,17750,1
,DET,MEM,108,110,Little Caesars Arena,2024-04-01T19:00:00Z,2:09,19999,0
,UTA,LAL,132,125,Delta Center,2024-01-13T21:30:00Z,2:18,18206,1
,MIA,BKN,105,109,Kaseya Center,2023-11-01T19:30:00Z,2:14,19600,1
,IND,TOR,131,132,Gainbridge Fieldhouse,2023-11-22T19:30:00Z,2:19,17091,0
,BKN,UTA,147,114,Barclays Center,2024-01-29T19:30:00Z,2:10,16054,0
,DEN,MIN,98,111,Ball Arena,2024-03-29T21:00:00Z,2:15,19844,1
,BOS,POR,124,107,TD Garden,2024-04-07T18:00:00Z,1:51,19156,1
,CLE,NOP,104,123,Rocket Mortgage FieldHouse,2023-12-21T19:30:00Z,1:55,19432,1
,PHX,MIL,114,106,Footprint Center,2024-02-06T22:00:00Z,2:35,17071,1
,SAC,SAS,131,129,Golden 1 Center,2024-03-07T22:00:00Z,2:16,17968,1
,POR,DEN,111,114,Moda Center,2024-03-23T22:00:00Z,2:22,18629,0
,TOR,LAC,107,127,Scotiabank Arena,2024-01-26T19:30:00Z,2:11,19800,1
,MIA,IND,142,132,Kaseya Center,2023-11-30T19:30:00Z,2:33,19604,1
,ORL,OKC,113,127,Kia Center,2024-02-13T19:30:00Z,2:18,19301,1
,PHX,MEM,116,109,Footprint Center,2023-12-02T21:00:00Z,2:27,17071,1
,DEN,BKN,124,101,Ball Arena,2023-12-14T21:00:00Z,2:13,19636,1
,OKC,SAS,127,89,Paycom Center,2024-04-10T20:00:00Z,1:56,17229,0
,BOS,PHI,117,99,TD Garden,2024-02-27T19:30:00Z,2:17,19156,1
,NOP,ATL,105,123,Smoothie King Center,2023-11-04T19:00:00Z,2:06,17237,1
,LAL,OKC,112,105,Crypto.com Arena,2024-01-15T22:30:00Z,2:05,18997,1
,CHI,OKC,104,124,United Center,2023-10-25T20:00:00Z,2:05,21369,1
,DAL,CLE,110,113,American Airlines Center,2023-12-27T20:30:00Z,2:16,20377,1
,LAL,GSW,121,128,Crypto.com Arena,2024-03-16T20:30:00Z,2:25,18997,1
,MIN,HOU,111,90,Target Center,2024-02-04T19:00:00Z,2:16,18024,1
,LAL,NYK,109,114,Crypto.com Arena,2023-12-18T22:30:00Z,2:16,18997,1
,BOS,SAC,101,100,TD Garden,2024-04-05T19:30:00Z,2:03,19156,1
,PHI,SAC,112,93,Wells Fargo Center,2024-01-12T19:30:00Z,2:16,19766,1
,CHI,PHX,115,116,United Center,2023-11-08T20:00:00Z,2:35,18220,0
,BKN,POR,127,134,Barclays Center,2024-01-07T15:00:00Z,2:40,17732,1
,MEM,POR,92,122,FedExForum,2024-03-01T20:00:00Z,2:08,15493,0
,LAC,MIL,117,124,Crypto.com Arena,2024-03-10T15:00:00Z,2:19,19370,1
,SAS,MIL,121,125,Frost Bank Center,2024-01-04T19:30:00Z,2:17,19082,1
,CHA,MIL,99,130,Spectrum Center,2023-11-17T19:00:00Z,2:10,19258,1
,SAS,IND,117,105,Frost Bank Center,2024-03-03T19:00:00Z,2:15,18027,0
,BOS,TOR,117,94,TD Garden,2023-11-11T19:00:00Z,2:04,19156,1
,UTA,DEN,124,111,Delta Center,2024-01-10T22:00:00Z,2:23,18206,1
,TOR,BOS,105,108,Scotiabank Arena,2023-11-17T19:30:00Z,2:03,19800,1
,NOP,BKN,112,85,Smoothie King Center,2024-01-02T20:00:00Z,1:56,16253,0
,LAL,MIN,120,109,Crypto.com Arena,2024-03-10T21:30:00Z,2:15,18997,1
,UTA,CHI,117,119,Delta Center,2024-03-06T21:00:00Z,2:14,18206,1
,DAL,OKC,146,111,American Airlines Center,2024-02-10T15:00:00Z,2:14,20277,0
,UTA,NYK,117,113,Delta Center,2023-12-13T21:00:00Z,2:29,18206,1
,ATL,CHA,114,115,State Farm Arena,2024-04-10T19:30:00Z,2:09,16158,0
,NYK,HOU,109,94,Madison Square Garden,2024-01-17T19:30:00Z,2:16,19439,0
,WAS,MEM,113,106,Capital One Arena,2023-10-28T19:00:00Z,2:17,16191,0
,MIN,DEN,110,89,Target Center,2023-11-01T20:00:00Z,2:11,18024,1
,WAS,CLE,105,114,Capital One Arena,2024-02-25T18:00:00Z,2:14,17895,0
,BOS,NYK,133,123,TD Garden,2023-12-08T19:30:00Z,2:16,19156,1
,SAS,DEN,106,117,Moody Center,2024-03-15T20:30:00Z,2:07,16223,1
,PHX,CHA,133,119,Footprint Center,2023-12-29T21:00:00Z,2:10,17071,1
,ORL,HOU,116,86,Amway Center,2023-10-25T19:00:00Z,2:14,18846,1
,OKC,DAL,135,86,Paycom Center,2024-04-14T15:30:00Z,1:56,18203,1
,PHX,DET,116,100,Footprint Center,2024-02-14T21:00:00Z,2:16,17071,1
,DAL,WAS,112,104,American Airlines Center,2024-02-12T20:30:00Z,2:16,19921,1
,CHA,MIA,114,116,Spectrum Center,2023-12-11T19:00:00Z,2:23,15543,0
,MIN,IND,127,109,Target Center,2023-12-16T20:00:00Z,2:11,18024,1
,OKC,MIL,125,107,Paycom Center,2024-04-12T20:00:00Z,2:03,18203,0
,HOU,NOP,104,101,Toyota Center,2023-11-10T20:00:00Z,2:28,16236,0
,IND,NYK,140,126,Gainbridge Fieldhouse,2023-12-30T19:00:00Z,0:00,17274,1
,NYK,ORL,98,74,Madison Square Garden,2024-03-08T19:30:00Z,2:03,19812,1
,DET,CLE,100,110,Little Caesars Arena,2024-03-01T19:00:00Z,2:12,19299,0
,MIN,BOS,114,109,Target Center,2023-11-06T20:00:00Z,0:00,18024,1
,GSW,TOR,118,133,Chase Center,2024-01-07T20:30:00Z,2:00,18064,1
,MIN,LAL,118,111,Target Center,2023-12-21T21:00:00Z,2:17,18024,1
,MIN,CHI,101,109,Target Center,2024-03-31T19:00:00Z,2:05,18024,1
,OKC,CHA,126,106,Paycom Center,2024-02-02T20:00:00Z,2:04,17552,0
,TOR,MIA,103,112,Scotiabank Arena,2023-12-06T19:30:00Z,2:11,19084,0
,SAC,MIL,129,94,Golden 1 Center,2024-03-12T22:00:00Z,2:17,17832,1
,WAS,TOR,102,132,Capital One Arena,2023-12-27T19:00:00Z,2:06,15437,0
,TOR,CHI,121,108,Scotiabank Arena,2023-11-24T19:30:00Z,2:12,19800,1
,MIN,LAC,109,105,Target Center,2024-01-14T19:00:00Z,2:25,18024,1
,WAS,BOS,107,126,Capital One Arena,2023-10-30T19:00:00Z,2:07,17898,0
,DEN,WAS,130,110,Ball Arena,2024-02-22T21:00:00Z,2:03,19621,1
,CHI,CLE,95,109,United Center,2023-12-23T20:00:00Z,2:07,19583,0
,BOS,ATL,125,117,TD Garden,2024-02-07T19:30:00Z,1:58,19156,1
,OKC,LAC,134,115,Paycom Center,2023-12-21T20:00:00Z,2:08,18203,1
,POR,MIL,119,116,Moda Center,2024-01-31T22:00:00Z,2:24,19335,1
,PHX,NOP,105,113,Footprint Center,2024-04-07T18:00:00Z,2:12,17071,1
,NOP,PHX,111,124,Smoothie King Center,2024-04-01T20:00:00Z,2:14,17753,1
,MIN,SAC,111,124,Target Center,2023-11-24T20:00:00Z,2:11,18024,1
,SAC,MIN,98,110,Golden 1 Center,2023-12-23T22:00:00Z,2:05,17983,1
,POR,ATL,106,102,Moda Center,2024-03-13T22:00:00Z,2:11,18064,0
,CHI,CHA,111,100,United Center,2023-12-06T20:00:00Z,2:16,17689,0
,NYK,BOS,102,116,Madison Square Garden,2024-02-24T20:30:00Z,2:07,19812,1
,DET,POR,101,110,Little Caesars Arena,2023-11-01T19:00:00Z,2:09,16912,0
,MIL,GSW,129,118,Fiserv Forum,2024-01-13T20:00:00Z,2:09,18009,1
,POR,MIN,91,128,Moda Center,2024-02-15T22:00:00Z,2:11,18606,0
,SAS,DEN,121,120,Frost Bank Center,2024-04-12T20:00:00Z,2:08,18665,1
,MIA,IND,129,144,Kaseya Center,2023-12-02T20:00:00Z,2:17,19650,1
,DAL,MIA,114,108,American Airlines Center,2024-03-07T19:30:00Z,2:23,20221,1
,UTA,DAL,127,90,Delta Center,2024-01-01T21:00:00Z,2:05,18206,1
,POR,MEM,115,113,Moda Center,2023-11-03T22:00:00Z,2:41,18592,0
,DET,SAC,110,131,Little Caesars Arena,2024-01-09T19:00:00Z,2:12,13992,0
,CLE,GSW,115,104,Rocket Mortgage FieldHouse,2023-11-05T18:00:00Z,2:17,19432,1
,OKC,HOU,112,95,Paycom Center,2024-02-27T22:00:00Z,2:17,17164,0
,LAC,DEN,102,100,Crypto.com Arena,2024-04-04T22:00:00Z,2:33,19370,1
,OKC,MEM,116,97,Paycom Center,2023-12-18T20:00:00Z,2:07,16409,0
,WAS,PHX,112,140,Capital One Arena,2024-02-04T15:30:00Z,2:10,16984,0
,CLE,DEN,121,109,Rocket Mortgage FieldHouse,2023-11-19T18:00:00Z,2:05,19432,1
,NOP,OKC,83,107,Smoothie King Center,2024-01-26T20:00:00Z,2:01,18624,1
