x,y,m
25,31,-1.0
-23,114,-1.0
-17,32,-1.0
234,5,2.0
-2,22,1.0
-175,198,-1.0
-206,145,-1.0
32,37,1.0
233,11,-1.0
-217,137,-1.0
-196,168,-1.0
-17,27,1.0
-11,10,1.0
162,194,2.0
-60,256,2.0
-4,20,1.0
1,5,1.0
168,221,2.0
-151,36,-1.0
-98,240,2.0
26,47,-1.0
234,93,2.0
83,257,-1.0
21,25,1.0
235,55,-1.0
29,25,-1.0
-62,26,-1.0
-71,10,1.0
-18,13,1.0
178,235,-1.0
6,10,1.0
-235,-1,-1.0
-235,50,-1.0
51,101,-1.0
37,20,-1.0
190,181,2.0
1,15,1.0
-156,222,-1.0
162,214,-1.0
-21,15,1.0
-174,230,2.0
-235,13,2.0
-93,43,1.0
6,21,1.0
-69,105,1.0
227,43,-1.0
4,11,1.0
232,63,-1.0
138,217,2.0
1,8,1.0
36,31,1.0
-195,68,1.0
-22,59,-1.0
-25,36,-1.0
0,0,1.0
22,73,1.0
-39,26,-1.0
-118,91,1.0
21,33,-1.0
-15,63,-1.0
-34,277,-1.0
7,4,1.0
20,27,1.0
164,69,1.0
-37,279,-1.0
-25,83,1.0
4,6,1.0
234,37,-1.0
-97,128,-1.0
-17,115,-1.0
137,223,-1.0
-1,288,-1.0
-224,120,-1.0
-28,43,-1.0
-20,36,-1.0
20,33,-1.0
-66,-11,-1.0
217,120,-1.0
229,106,-1.0
-22,39,-1.0
2,1,1.0
6,33,-1.0
-235,37,-1.0
172,183,-1.0
-101,66,1.0
200,143,2.0
110,223,2.0
-4,-6,1.0
6,13,1.0
-4,253,2.0
-86,249,-1.0
228,-10,-1.0
107,120,1.0
-32,29,1.0
54,18,-1.0
98,45,-1.0
-77,265,-1.0
-17,264,2.0
13,20,-1.0
200,153,-1.0
194,162,2.0
159,199,2.0
-233,0,2.0
42,150,-1.0
62,169,-1.0
-5,0,1.0
233,-16,2.0
-81,246,-1.0
11,217,-1.0
53,8,-1.0
-124,7,-1.0
-235,48,-1.0
-70,96,-1.0
38,32,1.0
1,0,1.0
7,52,1.0
-195,160,2.0
-235,36,2.0
230,12,-1.0
194,151,2.0
-6,-1,1.0
170,473,-1.0
-233,14,-1.0
-5,180,-1.0
9,16,1.0
232,57,2.0
0,13,1.0
22,22,-1.0
-230,93,2.0
-2,9,1.0
147,247,-1.0
-118,232,-1.0
32,19,-1.0
-4,5,1.0
-129,147,-1.0
5,11,1.0
11,41,1.0
59,257,-1.0
5,188,-1.0
-5,56,-1.0
18,26,1.0
148,241,2.0
-189,166,2.0
115,146,-1.0
-17,106,1.0
-195,163,-1.0
47,24,1.0
-56,72,1.0
21,13,-1.0
-6,20,-1.0
0,0,1.0
-103,241,2.0
112,226,2.0
-7,119,1.0
67,69,-1.0
0,0,-1.0
48,188,-1.0
-227,22,2.0
-65,258,-1.0
50,246,-1.0
-229,19,2.0
165,213,2.0
-142,214,2.0
-142,135,-1.0
88,199,1.0
-183,178,-1.0
2,269,-1.0
217,117,-1.0
20,114,-1.0
-36,131,-1.0
159,194,2.0
-230,-20,-1.0
-141,234,-1.0
37,13,-1.0
-145,224,-1.0
132,205,2.0
1,8,1.0
-50,113,1.0
2,16,1.0
172,220,2.0
20,153,1.0
-65,264,2.0
194,177,-1.0
2,176,1.0
227,-7,2.0
170,220,-1.0
1,45,1.0
183,225,-1.0
-72,460,-1.0
4,58,1.0
-17,15,1.0
56,252,-1.0
10,37,1.0
183,176,2.0
12,37,1.0
-9,29,1.0
136,245,-1.0
142,231,2.0
-22,36,-1.0
31,75,-1.0
234,79,-1.0
-228,27,-1.0
12,20,1.0
186,194,2.0
-120,242,-1.0
-227,42,-1.0
-169,197,2.0
64,15,1.0
5,41,-1.0
233,46,2.0
-142,224,-1.0
-222,13,2.0
-180,201,-1.0
66,103,-1.0
5,47,1.0
121,237,-1.0
42,47,1.0
-123,105,1.0
20,37,-1.0
0,0,1.0
25,26,-1.0
-184,204,2.0
-232,2,-1.0
0,0,-1.0
13,23,1.0
-143,222,2.0
-7,21,1.0
0,13,1.0
-158,237,-1.0
-200,194,2.0
55,63,1.0
9,29,1.0
47,102,-1.0
-173,199,2.0
-234,23,-1.0
96,241,2.0
232,39,-1.0
-229,88,-1.0
0,33,1.0
-230,59,-1.0
7,25,1.0
9,6,-1.0
6,21,1.0
-13,15,1.0
-4,26,-1.0
-161,220,2.0
-175,200,-1.0
-1,83,1.0
-34,94,-1.0
-11,39,1.0
94,260,-1.0
92,239,-1.0
-234,47,2.0
-197,157,2.0
-148,222,-1.0
-2,10,1.0
121,242,-1.0
-147,132,-1.0
-5,7,1.0
-12,25,-1.0
-26,102,1.0
105,41,-1.0
18,248,-1.0
0,6,-1.0
0,0,1.0
-118,241,-1.0
147,236,2.0
142,85,-1.0
17,95,-1.0
-165,218,-1.0
-4,-1,-1.0
-2,8,1.0
-27,1,1.0
-15,15,1.0
-5,0,1.0
39,262,2.0
-17,-1,1.0
110,55,-1.0
-26,100,-1.0
-125,236,2.0
0,96,1.0
-11,8,1.0
-12,-2,1.0
-100,257,-1.0
-4,0,1.0
77,29,-1.0
-5,17,1.0
-191,180,-1.0
83,245,2.0
163,211,2.0
230,42,-1.0
7,-10,-1.0
-116,-23,-1.0
-147,230,-1.0
-2,6,1.0
86,257,2.0
-120,14,-1.0
-5,257,-1.0
-23,13,-1.0
0,0,-1.0
189,190,-1.0
-102,20,-1.0
-78,135,1.0
-58,265,-1.0
33,65,-1.0
-229,-5,2.0
25,-5,1.0
-48,21,-1.0
163,212,-1.0
233,112,2.0
7,13,-1.0
7,111,-1.0
156,235,-1.0
-1,7,1.0
-156,-6,-1.0
192,204,-1.0
36,-20,-1.0
10,-5,-1.0
119,60,-1.0
-88,27,-1.0
10,0,1.0
2,12,1.0
27,181,-1.0
-225,-10,2.0
17,11,1.0
-83,76,1.0
-186,222,-1.0
-225,0,-1.0
-1,55,-1.0
33,4,-1.0
0,0,1.0
26,23,1.0
121,251,2.0
-31,38,-1.0
11,1,-1.0
22,6,-1.0
-83,69,1.0
-223,-4,-1.0
7,1,-1.0
-6,10,1.0
21,16,-1.0
-10,41,1.0
-228,10,-1.0
-172,217,2.0
192,10,-1.0
148,216,2.0
-120,39,-1.0
109,237,2.0
-37,68,1.0
10,117,-1.0
25,28,1.0
168,189,-1.0
-223,0,-1.0
146,216,-1.0
-49,36,1.0
-21,299,-1.0
93,13,-1.0
37,15,1.0
109,12,1.0
27,279,-1.0
-217,179,-1.0
22,29,1.0
-28,20,1.0
36,50,1.0
1,267,-1.0
-67,123,1.0
9,264,-1.0
-61,263,2.0
-43,41,-1.0
4,20,-1.0
0,0,-1.0
