x,y,m
-201,169,2.0
20,17,1.0
-1,33,-1.0
115,227,-1.0
-227,113,2.0
-75,248,2.0
-26,15,-1.0
-130,217,2.0
37,20,-1.0
-88,27,-1.0
-225,125,-1.0
89,127,-1.0
-65,131,-1.0
-223,133,2.0
-240,4,-1.0
123,222,-1.0
-56,58,-1.0
-50,257,-1.0
29,106,1.0
-65,128,-1.0
11,42,-1.0
-114,126,-1.0
-47,60,-1.0
4,25,1.0
135,239,2.0
-99,159,1.0
-56,31,1.0
37,251,2.0
17,27,1.0
142,241,2.0
-134,260,-1.0
-16,49,1.0
12,40,1.0
-62,249,-1.0
-181,183,-1.0
-110,248,-1.0
214,123,2.0
-104,235,-1.0
1,49,-1.0
11,38,-1.0
22,63,-1.0
-36,41,-1.0
0,28,1.0
67,188,1.0
1,21,1.0
7,10,1.0
-232,49,-1.0
23,8,1.0
-4,75,-1.0
-37,257,2.0
-94,111,-1.0
113,163,1.0
10,256,2.0
51,97,1.0
224,9,-1.0
-51,151,-1.0
239,38,2.0
11,49,-1.0
-225,38,-1.0
-230,4,2.0
-126,236,2.0
-33,50,-1.0
-152,219,-1.0
-4,52,-1.0
-13,260,-1.0
13,43,1.0
12,21,1.0
4,38,1.0
-25,53,-1.0
-11,109,-1.0
120,47,-1.0
158,208,2.0
9,14,1.0
-138,226,2.0
11,8,-1.0
156,214,-1.0
0,0,-1.0
-223,-16,-1.0
147,208,-1.0
-189,20,-1.0
-64,256,2.0
65,143,1.0
-228,-5,-1.0
-230,-16,-1.0
-162,200,2.0
233,51,-1.0
-56,115,-1.0
0,10,1.0
-16,10,1.0
150,213,-1.0
-6,11,1.0
-17,0,1.0
-1,199,1.0
208,142,2.0
-1,22,1.0
4,15,1.0
4,29,-1.0
-121,230,2.0
142,227,-1.0
235,96,2.0
-37,45,-1.0
47,100,-1.0
98,145,1.0
129,214,-1.0
-2,0,1.0
-12,-6,1.0
20,-8,1.0
27,1,-1.0
0,-1,1.0
1,8,1.0
-15,5,-1.0
2,5,1.0
-44,10,1.0
-42,17,1.0
88,61,1.0
5,5,1.0
5,135,-1.0
-4,6,1.0
15,-6,1.0
26,250,-1.0
16,6,1.0
66,20,1.0
232,32,-1.0
-6,10,-1.0
0,0,1.0
99,152,-1.0
50,29,-1.0
-102,235,-1.0
-140,211,2.0
-51,85,1.0
67,26,1.0
-9,0,-1.0
-61,89,1.0
-167,197,-1.0
23,-1,1.0
-10,-4,1.0
-98,236,-1.0
-26,255,-1.0
-7,-2,-1.0
27,6,-1.0
11,3,1.0
-9,40,1.0
150,234,2.0
239,0,-1.0
-96,229,-1.0
-11,-5,1.0
-97,226,-1.0
-2,25,1.0
55,22,1.0
-1,-1,1.0
6,11,-1.0
12,4,1.0
210,149,2.0
23,10,-1.0
232,-25,2.0
-37,105,1.0
17,5,1.0
-12,259,2.0
-4,13,1.0
104,243,-1.0
229,84,2.0
-44,17,1.0
-15,17,1.0
5,15,1.0
74,65,1.0
-185,180,-1.0
-185,188,-1.0
-11,15,1.0
-221,152,-1.0
-156,284,2.0
-99,251,2.0
17,2,-1.0
64,28,-1.0
-218,141,2.0
-115,32,1.0
-1,22,-1.0
-9,26,-1.0
227,101,-1.0
192,176,-1.0
34,27,-1.0
235,44,2.0
-213,132,-1.0
-5,12,1.0
-233,-9,2.0
230,52,2.0
-145,217,-1.0
13,28,-1.0
-199,79,1.0
82,162,1.0
-212,36,-1.0
-202,158,2.0
-180,165,2.0
-135,277,-1.0
-153,237,-1.0
-75,128,-1.0
-76,247,-1.0
37,258,-1.0
-86,57,1.0
169,177,2.0
-17,4,-1.0
146,208,2.0
-61,262,-1.0
18,4,1.0
-223,124,-1.0
-82,155,-1.0
170,188,-1.0
16,6,1.0
-145,206,2.0
2,62,1.0
108,171,1.0
-150,213,2.0
-2,22,-1.0
-132,225,-1.0
72,64,-1.0
-10,263,-1.0
-15,10,1.0
-20,9,-1.0
-174,195,2.0
0,0,1.0
-50,105,1.0
13,85,1.0
107,-17,1.0
54,88,1.0
89,258,-1.0
-228,40,-1.0
-233,8,2.0
0,17,1.0
-110,230,-1.0
17,3,1.0
27,119,1.0
-130,87,1.0
-180,188,2.0
-179,177,2.0
-51,119,-1.0
1,5,1.0
135,132,-1.0
-228,114,2.0
-156,152,1.0
-233,-11,2.0
-178,189,-1.0
67,137,1.0
-105,251,-1.0
-135,130,-1.0
-1,32,1.0
-25,256,-1.0
-21,5,1.0
65,22,1.0
11,1,1.0
-225,83,2.0
-4,44,1.0
-120,226,-1.0
-16,4,1.0
70,176,-1.0
-50,201,-1.0
77,207,-1.0
28,8,-1.0
-118,249,-1.0
150,156,-1.0
-17,1,1.0
-2,38,1.0
124,137,-1.0
-2,7,1.0
-51,94,-1.0
210,138,-1.0
-67,167,-1.0
1,0,1.0
-93,29,-1.0
83,183,-1.0
232,-16,2.0
23,8,1.0
104,222,-1.0
-110,242,-1.0
76,123,-1.0
-158,212,2.0
97,123,-1.0
168,199,-1.0
-45,118,-1.0
-227,18,-1.0
-21,5,1.0
-107,236,2.0
-164,199,2.0
-16,1,1.0
6,55,-1.0
58,255,2.0
-28,25,1.0
170,216,2.0
36,52,-1.0
34,37,-1.0
