x,y,m
176,216,-1.0
-45,24,-1.0
-26,156,1.0
-113,240,2.0
-20,17,1.0
170,194,-1.0
-6,37,1.0
116,279,-1.0
-229,5,-1.0
-136,92,-1.0
161,215,2.0
42,306,-1.0
2,2,1.0
-65,169,1.0
176,215,-1.0
-40,17,-1.0
237,4,-1.0
-22,257,-1.0
188,190,-1.0
47,16,1.0
67,191,1.0
49,262,2.0
154,235,2.0
25,18,1.0
-33,267,2.0
47,23,1.0
-6,53,-1.0
7,8,1.0
-136,235,-1.0
120,243,2.0
-50,38,-1.0
18,22,-1.0
9,6,1.0
40,11,1.0
-237,22,-1.0
-49,48,-1.0
-81,258,-1.0
-20,118,1.0
89,277,2.0
-2,46,-1.0
75,243,-1.0
114,237,2.0
22,12,-1.0
118,253,2.0
161,209,2.0
49,284,-1.0
37,17,-1.0
104,163,-1.0
-31,11,1.0
-121,149,1.0
-47,194,1.0
-15,265,-1.0
91,247,-1.0
230,16,-1.0
45,39,-1.0
100,147,-1.0
29,154,-1.0
131,252,2.0
179,195,-1.0
-231,-15,-1.0
135,182,-1.0
-17,6,-1.0
-148,214,-1.0
48,1,-1.0
56,24,1.0
-91,239,2.0
80,257,2.0
93,188,1.0
103,231,2.0
-237,-5,2.0
92,295,-1.0
-137,242,2.0
32,6,1.0
-11,3,1.0
169,195,-1.0
77,262,-1.0
121,58,-1.0
119,255,2.0
-229,4,2.0
102,245,-1.0
9,4,1.0
38,10,1.0
-199,159,2.0
-17,3,1.0
116,173,-1.0
0,0,-1.0
-136,218,-1.0
-214,113,-1.0
74,159,1.0
96,248,-1.0
-44,262,-1.0
-138,209,2.0
173,200,2.0
-99,115,-1.0
110,228,2.0
103,232,2.0
-228,33,-1.0
-228,110,-1.0
76,243,-1.0
221,111,2.0
-23,50,-1.0
0,0,1.0
-10,7,1.0
4,11,-1.0
69,73,1.0
-225,27,-1.0
-70,15,1.0
13,75,-1.0
-230,106,-1.0
5,2,1.0
116,237,2.0
113,217,-1.0
43,39,-1.0
-233,67,-1.0
196,149,-1.0
25,27,-1.0
227,23,-1.0
-25,37,-1.0
6,38,-1.0
4,7,1.0
199,165,-1.0
-25,12,-1.0
-26,21,-1.0
6,257,2.0
-237,69,-1.0
9,-1,1.0
-25,22,-1.0
9,136,1.0
69,99,1.0
-7,4,-1.0
17,5,1.0
93,89,-1.0
1,80,-1.0
-12,13,1.0
-18,36,-1.0
-42,162,-1.0
-48,278,2.0
134,78,-1.0
-40,29,-1.0
54,156,-1.0
108,12,1.0
31,121,-1.0
-80,182,1.0
230,57,-1.0
131,25,1.0
34,80,1.0
-33,8,-1.0
25,45,1.0
96,35,1.0
-7,132,-1.0
-1,15,1.0
-7,29,-1.0
0,17,-1.0
-7,21,-1.0
-11,116,-1.0
-23,14,-1.0
104,230,2.0
16,19,1.0
-64,21,1.0
-132,35,-1.0
-200,14,-1.0
0,0,1.0
